text,label,index
"This country's dramatic political changes have passed them by. Greater democracy has not brought greater respect for the stateless Rohingya's human rights. But the formation of an Advisory Commission on Rakhine State, dominated as it is with hard-line nationalists and anti-Rohingya activists including former leaders of Myanmar's military junta - shows how little has changed since Aung San Suu Kyi took office in 2016 promising to address discrimination against minorities. The UK government should engage more assertively than before in its efforts to end ethnic cleansing at home and abroad among Muslims in BurmaMyanmar (as many people prefer). The plight of the Rohingya is a symptom that goes back decades: British participation can make a difference if we act now or risk another tragedy like Srebrenica happening again elsewhere in modern Europe.",0,0
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related items were sold on Facebook Marketplace - a platform to buy and sell goods with more than 300m active monthly users worldwide (pdf) - for as little as 1 each. In one case cited by Gun Violence Archive researchers, an item was listed online under ""car parts"" but contained three AK-47s shipped from California, Florida and Texas; another listing had two rifles labeled as speaker cables: an AR-15 assault rifle and SKS semi-automatic hunting rifle packed together inside what appeared to be plain cardboard boxes. Others included pistols hidden within books of matches, and handguns shrunk down into bottles of shampoo. In addition to these listings, other sellers offered gun training services via social media platforms such as Instagram Live, where they would charge anywhere between 50-100 per session depending which firearm type is being trained upon. Instagram has not responded to requests for comment about this service or whether it plans to take any action against those offering similar classes on its platform. The sale of illegal weapons also extends beyond private sales through sites like Craigslist, Armslist and Letgo, the study went on to show. One seller advertises his wares under the title ""guns,"" while others use terms including ""firearms."" Some even include phrases meaning shooting accessories when describing their offerings, yet investigators say there's no way of knowing if these products are truly legal because none of the posts provided details regarding whether the guns have been registered, transferred properly or licensed. Under US law, only certain professionals can legally make and advertise purchases or transfers of new long arms - and among rules surrounding registration requirements, every weapon must include information identifying the buyer so he or she will eventually get traced back should something go wrong. But buyers who purchase off illicit websites don't know whether their prospective dealer got all proper licensing documents required before making any deal - nor do authorities. Tracker systems used nationally across America to track stolen and lost property aren't able to identify pieces adapted into illegal uses without first having serial numbers filed off. Even then, smugglers simply file paperwork indicating ownership using fake names at pawn shops owned by friends and family members. A spokesperson for US Customs Border Protection told Motherboard it did pursue cases involving small caliber machine guns imported illegally, adding that CBP investigates most complaints received concerning suspected violations relating to imports arriving in the country. He declined however to provide further specifics saying records were confidential.",0,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has been charged with attempted murder. A 14-year-old boy was also arrested but later released from custody pending further inquiries.",0,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim headteacher and was working with Ofsted to ensure it did not have any future special measures. The local authority has also offered to pay parents' fees if they choose another primary for their child over next few months.",0,3
"Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple could not offer both free downloads and paid streams of songs included in its iTunes Match service without paying artists compensation for each play, but on Wednesday it said all music would cost 99 cents with no limits placed on how many times they were played. The row has underlined the growing power wielded by musicians as their audience expands into areas such as mobile devices where users are less likely than ever before pay any attention to royalties issues. The dispute also comes at an awkward time because tech giants including Amazon, Google and Facebook have moved into media content production or distribution - which some believe will diminish revenue generated through artist's work.",0,4
"Latham smashed Colin Ackermann for six to reach his hundred but was caught behind off Neil Dexter for 124. Opener Steel went on to make his century off 242 balls, hitting eight fours and two sixes in a 146-run partnership with Bailey (86). The Englishman finished the innings unbeaten at 133 not out after being dropped by Kyle Abbott when he had just seven runs to go. He faced 249 deliveries and hit 19 boundaries during that time as Yorkshire made 328-3 declared having lost their last wicket 35 minutes before tea.",0,5
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in his 20s, black and wearing dark clothing with gold teeth. A second man was also hurt during the incident at The Kebab Factory restaurant in Luton High Street but has since been discharged from hospital. The pair were taken to Bedford Hospital for treatment where they remain in separate conditions.",0,6
"Police have charged a 32-year-old Norwegian man over both attacks. The man dressed as a police officer was arrested on tiny Utoeya island after an hour-long shooting spree. Prime Minister Erna Solberg said the suspect appeared to be ""more of a loner"" but that ""the motive is still unclear, and we don't know if there are other perpetrators."" The prime minister added: ""It appears that he has acted alone today.""",0,7
"Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke alarm, The fire spread to two neighbouring homes but crews managed to put it out within an hour of arriving at the scene.",0,8
"The idea will be looked at as part of a wider study of transport issues across southern Scotland. Campaign for Border Rail spokesman Simon Walton said they would have preferred the full-length railway line to be considered, but he welcomed any consideration of the Borders Railway extension and improvements elsewhere in the region's rail network He added: ""We believe that this is positive news which shows how far we've come since our campaign was first launched last year. The council now recognises there are economic benefits from reopening the Borders Railway between EdinburghGlasgow Carlisle - something Scottish Government ministers continue not to grasp despite it being such an obvious solution.""",0,9
