text,label,index
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related items were shipped to at least five states - Alabama; Colorado (twice); New Jersey once), Ohio twice) and South Carolina). The shipments included other contraband as well such drugs...",0,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has been charged with two counts each off assault by beating occasioning actual bodily harm (ABH) as well a count attempted GBB respectively contrary to section 47a (1) 34c Criminal Justice Act 1988; Section 18 Children Young Persons act 1933; common intention ABHs offences under s19 CJA per X2C). Sergeant Steve Wells said: ""I would like this incident which happened outwith school hours particularly around lunchtime when it is usually busiest for children be highlighted so that parents can ensure they talk about stranger danger at home.""",0,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim head and is recruiting for two permanent heads. The move comes amid concern that children are not being taught to high enough standards by teachers with inadequate training...",0,3
"Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple was unfairly making money off of work she created herself, but on Monday said it would offer three options for how artists can be paid when their music is played through its service - including songwriter royalties and performance rights ""already included in existing contracts,"" according to Billboard.com....",0,4
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in his 20s and of African Caribbean appearance, wearing dark clothing with white writing across it around its neck area or face as well was carrying what looked like an imitation firearm The victim sustained serious injuries to both legs after one man beat him over several hours",0,6
"Nazanin Zaghari-Ratcliffe was sentenced to five years for allegedly plotting to topple the government in Tehran. Her husband, Richard Ratcliffe, has criticised the UK government for a lack of action over her plight Photo: PA WirePress Association Images",0,10
"Each evening Cardiff Bay will become the venue for a world music Showcase Festival featuring a tapas of world music from around the world. Folk music played a large part in refuelling my travel as I began to walk back into Wales, along with some early morning busking (and an impromptus gig at Karaoke). Likewise Cornish bagpipes and Breton singers continue their journey northwards though France on this side trip across Europe...",0,11
"Akinfenwa chested down in the box and saw his deflected shot fly past Bobby Olejnik to continue Wycombe's impressive home form - they have lost just one of six league games played at Adams Park this season. Away from their poor run on grass, Barnet had won three successive away matches with draws against Luton Town (1-0), Crawley City (2-3), Plymouth Argyle and scored 9 goals without reply during that sequence which included a 4 goal victory over promotion hopefuls Southend United FC. Their last defeat was again by 0:4 margin albeit only two weeks prior when losing 5: 2 vs Preston North End F C Another draw would therefore see them safely through but if Boro could get back into it then there were still 7 teams all vying for 6 places since Derby County who occupy fourth spot are five points ahead already as well so really anything can happen now!",0,12
"He was held on suspicion of Computer Misuse Act offences after officers searched a property in the city. Police have also arrested and bailed a 16-year-old from London, a 15-year-old boy who is being treated as an adult for thefts between 1 June 2009 to 13 March 2010 (when he should still be under juvenile supervision) plus two 18 year old brothers suspected by detectives with committing five burglaries since August 2008 which had netted jewellery worth more than 2 million at one point The youngest suspect remained uncharged while three were charged last week when they appeared before magistrates accused ""of conspiring together."" The Crown Prosecution Service said that those taking part will face trial later this month or early next unless further evidence comes forward.""",0,13
"The state newspaper says the ""suave"" liquor will spare you wincing when you wake, despite boasting 30-40 alcohol. The brew is reportedly made from a type of indigenous ginseng called sancha and sweetened with honeybee nectar - two ingredients that should help put your hangover to rest in one neat package.""I don't know how it tastes but I do believe this can cure my headache,"" reads an online post by Fan Weigang on Sina's popular weibo microblogging site which has been viewed more than 100 thousand times since Tuesday morning (local time).An admin at another forum linked over 700 comments about similar claims or curiosity seeking for details... Monday October 16th 2012 - Drinks Business Reuters: Booze Brands Tap Into Chinese Culture With Gin And Tonic",0,14
"Transactions carried out in European markets were previously recorded in Luxembourg, with which Amazon had a low-tax agreement. Now sales made through subsidiaries in the UK, Germany, Spain and Italy will be taxable there as well Amazon says it has now paid more than 5bn of taxes since 2012 - about half its annual profits",0,15
"The council has launched an appeal to raise PS150,000 for a bronze sculpture in the Barkers Pool area. Former steelworker Kathleen Roberts said: ""It breaks my heart that we haven't got anything here at all.""",0,16
"Bielsa, 60, a former Argentina and Chile boss, resigned from French club Marseille in August and is unattached. He led Spanish club Athletic Bilbao to the 2012 Europa League and 2014 Copa del Rey titles before moving on last year after failing win over his critics at Barcelona coach Luis Enrique for being too defensive-minded with Lionel Messi as forward spearhead; Barca went out of continental competition early this season - despite winning La Liga comfortably again under Gerardo Martino [inset]. Try Ball Sports: How To Play Free Online Games! Now you can play new games anytime anywhere without downloading anything or paying any money using your mobile phone internet data connection",0,17
"The test investigates whether people can detect if they are talking to machines or humans. The experiment is based on Alan Turing's question-and-answer game Can Machines Think? No computer has yet succeeded in winning this version of the challenge, although some have come close with their answers through a process that imitates human behaviour (see Cleverbot). It was first used by researchers at Microsoft Research and Yale University for conversing bots called Xiaoice which became widely known when one began answering users' questions online frequently enough so as not be easily distinguished from real intelligence.[18] A further development concerned ELIZA,[1920a program written around 1966 intended mostly help its user mimic Rogerian psychotherapy; it started appearing shortly after an initial paper describing how natural language processing could allow computers understand more about what individuals say than might appear otherwise possible[21].",0,18
"Leinster fly-half Sexton was injured in Saturday's Pro12 final defeat by Connacht and requires surgery. Full-back Rob Kearney has a hamstring injury with his brother Dave, a winger, ruled out for up to two months after undergoing an operation on the knee he damaged against Munsters last weekend but will be back sooner than that because of good progress being made during rehab work at Limerick Sports Therapy Clinic (LSTC). (Source: Irish Times)",0,19
"Shocked onlookers swam across the boating lake at Stanborough Park, Welwyn Garden City, on Sunday after the car became submerged in the water. The pair were put in a boat and waited for firefighters to arrive Uni staffer Sophie Kimmett (left) said her colleague Nick Harewood was 'shaking' when they caught sight of him from their balcony",0,20
"The birds caused ""extensive damage"" by making holes in parts of the spire made of cedar at St Mary's Church in Headley near Epsom. A grant of PS78,000 was awarded to restore a section damaged on 25 February 2009 and this has now been completed St John The Baptist Anglican church in 2007 due erosion from stormwater pipes (which are falling into disrepair) which were installed during World War I when American soldiers occupied Fort Riley after it became an internment camp following America's entry onto WWI See also Listof (disambiguation) articlesLists:Lido,Boulevard andTerrace: Lidos have existed for many centuries as places where batherswimmers could swim safely without being attacked or harassed; some early lids took their names directly form Greek mythology e g Venus' Grottoes is probably named because they resemble female genitalia [image]. Modern versions may be called pools rather than actual devices like ancient ones - see pool "" article] or simply swimming bars - though these can still retain such connotations today. In recent times there seems no clear distinction between them.. History Wikipedia",0,21
"Transport Minister Humza Yousaf said a new charter arrangement would end the long-running row over seafarers' pay. The RMT union had claimed some workers on board two freight boats were only being paid 1 per day for 67 days of work this year, when they should have been earning at least double that amount in minimum terms from employers under international conventions signed off by governments including Scotland's.' [http:www....",0,22
"Foster's time of 11.62 seconds earned automatic qualification as she finished second in her first-round heat. However, Smyth exited from the men's 100m as he finished fifth in his heat and missed out on progressing to Friday night (AEST) qualifying rounds with a best effort at 10secs behind eventual gold medalist Yohan Blake who won Jamaica'Bolted over world record holder Asafa Powell whose final race was marred by some last minute confusion about whether or not US sprinters were allowed into their quarterfinal as they had been for other events.""",0,23
"The lifesaving equipment is believed to have been taken from outside of Frenchay Village Hall, near Bristol, in the early hours of Friday. Last December it was one of eight vehicles stolen during a spate across south-west England and Wales Police are appealing for information as they try...",0,24
"Hull City's Chester, Dummett of Newcastle United and Celtic's Matthews missed March's 3-0 win in Israel because of injuries. Andy King returns after serving a two-match ban but injuries rule out other key players for the fixture against their fierce rivals Leicester who are sixth with six games to go Match facts: Arsenal have won three matches on this trip - beating Everton 2-1 at Goodison Park back when Arsene Wenger was still manager there; they also beat Manchester Utd 1 - 0 under George Graham' before he left Highbury",0,25
"Media playback is not supported on this device The wing, 34, scored in the last move of Wales' 24-18 defeat by Australia in Cardiff and was later in tears during a TV interview The Welsh Rugby Union said: ""We are extremely grateful to Rob Howley for his immediate decision. It's important that we do all possible within our power as an organisation."" Asked if he had been sacked since leaving hospital today at 5pm with concussion symptoms after being hit while collecting ball from scrum half Mike Phillips late yesterday afternoon but added it remains confidential until their investigation has concluded.. Tensions. I'm very proud,"" Morgan told BBC Radio Five Live ahead... Read More",0,28
"But the BBC drama - which celebrated its 30th anniversary last month - was beaten to the TV soap of the year award by its ITV rival Coronation Street. Ant and Dec's Saturday Night Takeaway won this category for a second time, while The Great British Bake Off took home four gongs at Sunday night's ceremony in London on March 2nd (16), including Best Daytime Programme or Series with Paul Hollywood hosting an emotional tribute show after his character left during series eight earlier that week Dame Diana Rigg received her first ever BAFTA honour as she collected Outstanding Contribution To Drama On Television from Lord Lloyd Webber; he said: ""I think you're probably about ready now."" PAHuffington Post UK",0,29
"Welsh Secretary Stephen Crabb was speaking after Friday's final televised debate before the election. ""There's only one party that's in a position to secure an overall majority and that's the Conservative Party,"" he said on ITV, adding: ""This is not about personalities or individuals it's really at its heart who can be trusted with making sure those public services are properly funded.""",0,30
"John Morley, 29, of Deanstown, Finglas West, is alleged to have carried out a sustained weekend attack at the Chimney Corner Hotel in Mallusk. The victim, Derek White, was said by witnesses on Saturday night (3008) and Sunday morning (31 August 2018),to be attacked with bottles being thrown from outside his room window onto him while he lay sleeping."" ""The injuries inflicted are believed not serious but fear that this could develop into something more than just an assault charge if Mr O'Brien decides now's time for payback,"" added Det Supt David Taylor when asked what motive may lie behind such attacks against people who were themselves involved previously as informants or confidential sources during previous investigations involving drugs gangs operating within Limerick city.""",0,31
"An ISI official told the BBC the compound in Abbottabad where Bin Laden was killed by US forces on Sunday had been raided several years ago. But the compound ""was not one of those we were looking at with any great degree or intensity,"" he said, adding that Pakistan's intelligence services did their own detailed investigation and determined it to be a simple suburban residence for some members from an extended family who held no senior position within al-Qaeda itself The Taliban claimed responsibility soon after news emerged about bin laden's death but denied his presence inside its territory when CNN broke this story earlier today:",0,32
"Ethan McKen, 24, was at the Black Sea resort of Sunny Beach, near Burgas, when he and a friend were hit by a wave, earlier on Saturday. Mr McKen was pulled from under water but his companion died immediately in what police say is believed to be an accident",0,33
"Actresses including Meryl Streep, Sally Field, Sandra Bullock and Cameron Diaz saluted the 76-year-old Oscar-winner at Thursday's event in Hollywood. ""I'm so happy to add another woman's name to the list of women I've played with,"" she said after being presented her honor by Fey (Falcon Crest), who also... Read more...",0,34
"Liverpool-bound striker Dominic Solanke picked up Lewis Cook's pass to score the winner shortly after the interval. England played the last 17 minutes with 10 men after Josh Onomah was sent off for a second bookable offence, and Kyle Walker scored his first international goal since March 2016 in stoppage time from Harry Winks' cross at Old Trafford on Monday night (AEDT).",0,35
"Voters here have yet to make their choice in the regional election. But already there's something of the victory march in the chancellor's step. It has been years since her party last won a big parliamentary majority, and many believe that with economic growth ticking up again thanks largely (though not entirely) due...",0,38
"Naz Shah has apologised for sharing the graphic showing Israel's outline superimposed onto a map of the US with the comment ""problem solved."" It was shared in 2014, before she became an MP. The Independent reported that Naz had been suspended by Labour this week following claims about another social media post from 2013 where her profile picture appeared to have replaced iconic wartime photo ""Raising The Flag on Iwo Jima"" saying: 'I support our troops - only they would know better how best.' She said it came when someone asked if there were any photoshopped pictures and added one as satire after being challenged over other anti-semitic comments which included calling IDF soldiers Nazis - these are understood not be under investigation; just some tweets (one below) written years ago while living outside Britain but is now believed deleted or hidden away within private channels",0,39
"The Slovenian club has knocked Hibernian, Rangers and Celtic out of Europe in recent seasons. Yet McInnes is adamant that his players are not fearful of the quality of the opposition when they face Marseille on Tuesday night at Tynecastle Park (kick-off 7pm). ""We've played against a lot better sides than this,"" he said."" We have to take them seriously but we won't be intimidated by it because our game's pretty strong anyway - I don't think there will such an issue as 'they're bigger boys'. But if you worry about being beaten then why play football? They shouldn' t give us any excuses or help either.""",0,41
"The Office for National Statistics (ONS) said the figure was up from 7.6 in the year to February. Separate figures showed the amount of money borrowed for home loans in September fell by 0,5 percent compared with August and 3 on an annual basis - its biggest fall since July 2015 Reuters",0,42
"Scripps' channels include the Food Network and Travel Channel. The two companies are estimated to have 20 of ad-supported TV viewership in the US The two said the deal would leverage their audiences together, creating a new ""worldwide media business."" ""By joining forces with Scrupps Networks we believe that there is an opportunity for us both grow our brand portfolios,"" Dave Morgan (presidentchief executive officer) commented during yesterday's news conference held at his Atlanta headquarters where he also announced plans by Turner Broadcasting System Inc., which owns CNN World Wide Television News Service as well other cable networks including TNT SportsNet,TBS Superstation HDTV network stations such UPN station WSBTV.Turner has been expected since early August when it was reported they were looking into striking up partnerships or deals on either programming content distribution rights related services among others; however no particular details had surfaced until now about any specific partnership terms nor how many individual markets this agreement will cover initially though I'm sure more information should be forthcoming over time soon enough.""Morgan added:The full press release follows below...TRANSCRIPT INTERESTED IN THIS STORY? Contact me directly!",0,43
"Mr Osborne cited ""tentative signs of a balanced, broad based and sustainable recovery,"" but stressed it was still the ""early stages"" and ""plenty of risks"" remained. Mr Osborne said that growth in GDP would be between 2 to 3, not much higher than its current rate at 1. In his Autumn Statement right after last year's Budget he had predicted this time round some pick-up by 201415 especially if there were no more eurozone crises or interest rates stayed very low for long periods as they have since 2008 when then Chancellor Alistair Darling stuck with 0-05 quantitative easing rather Thatcher like cutting them below zero (which just causes people panicky withdrawals from their bank accounts). The value effect on Britain should also increase exports which is another reason why I am hoping Chopper Cameron will get good results out here sooner instead later because HMG wants us all doing well so we can buy things back home again! As usual though our PM wont say anything about what might happen beyond 2015 until 2016 despite him being elected nearly two years ago now.....and SF won't even allow Choperer Dave talk seriously ahead yet either! Maybe both are trying hard these days actually listening carefully? To voters? At least David has tried something different other parties don'ti think 'lets change everything' any old how without thinking through properly first...whatever -do says...but next May finally maybe....I'll wait patiently til my turn comes around 12 months hence lolol",0,44
"Authors including The English Patient writer Michael Ondaatje and Peter Carey will not attend the PEN Literary Gala in New York on 5 May. They said PEN - known for its work to defend free expression, especially writers under attack from repressive regimes or persecuted minorities - had shown itself unworthy of their support by voting against a UN resolution condemning President Bashar al-Assad's violent suppression [...] Read more",0,45
"The 35-year-old schoolteacher told the court that her digestive system sometimes converts food into alcohol. After her arrest, her doctor conducted tests that found that high levels of yeast in a sample he took from Ms Hovan had been converted to ethyl acetate by bacteria present on human skin and other areas inside an abdomen while she was consuming drinks at nightclubs with friends - but this wasn't necessarily unusual for someone who regularly consumed alcoholic beverages after meeting up late each evening."" ""In fact,"" adds Dr Ian Rao [an expert witness], ""it isn't unknown among people whose job it is either drink or handle liquor professionally."" The hospital also revealed about another woman accused:""We have not received any evidence which confirms ingestion through oral sex as alleged so far.' And yet there are no allegations regarding vaginal intercourse.Both women deny they knowingly drank semen,' said Owoadejesun.Neither one seems aware what happened during their 'alleged encounter'. It could be because both were drunk when contacted police.""One has since gone abroad following reports leading inquiries against them.""",0,46
"The Council for Science and Technology (CST) wants ""public good"" GM varieties to be grown and tested in the UK. It says GM crops should be assessed individually - like drugs are, rather than simply being classed as 'OK'. It's not clear what they're suggesting but it implies that some GMs could have their approval revoked if conditions change over time or with future research: an impossible situation when a drug is made illegal because its effects on humans were discovered later after initial trials! Bt maize was banned from use here by then Environment Secretary Margaret Beckett following fears of harming insects which feed our livestock; before she had even started her review into how safe this crop really might turn out ot bbe under licence... I don't think we'll see any British farmer growing Monsanto-owned BT corn anytime soon though maybe one day down there near Calais? Maybe Kofi Annan will dare try his hand at reviving them once more....",0,47
"Joe Storey, 27, had denied murdering Kerri McAuley, 32, who was found dead at Southalls Way, Norwich, on 8 January, but admitted manslaughter. Storey was high on cocaine when he attacked Miss McKee in a park after she tried to stop him from taking his girlfriend home and refused help for her friend's daughter whom the defendant claimed needed medical attention as ""she looked like an abused baby."" Mr Justice Hickinbottom said: 'You killed this woman because you were carrying drugs that night.' The court heard how Ms McCabe called police twice with concerns about what they believed might have been drug-related violence outside of The Fox public house near St George's Field where there is known gang activity between rival groups including Saleem Clarke [above] - one half brother Felton Rampling (inset) pictured below left also used by Slick Rick",0,49
"A man entered the store on Balmoral Place between 07:30 and 07:45, threatened a 33-year-old member of staff with a weapon and attacked him. The suspect fled with a four-figure amount in cash which was recovered by police officers at Seacroft Road moments later Read more",0,50
