text,label,index
"This country's dramatic political changes have passed them by. Greater democracy has not brought greater respect for the stateless Rohingya's human rights. But the formation of an Advisory Commission on Rakhine State, led by former UN Secretary-General Kofi Annan, has brought renewed hope for a more inclusive and equitable society in Myanmar. This commission was established to examine the situation in Rakhine State and to provide recommendations on issues such as citizenship, freedom of movement, and access to services. As a result of the commission's work, a number of important steps have been taken to address the situation of the Rohingya, including the establishment of a pilot program to issue national verification cards to the stateless population in Rakhine State. However, much work remains to be done, and the international community must continue to apply pressure on the government of Myanmar to uphold its commitments to respect the rights of all its citizens, including the Rohingya.",0,0
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related items were being sold on both the surface web, which is easily accessible, and also on the dark web, which requires specific tools and software to access. To combat this illegal trading, law enforcement agencies and governments are working to identify and shut down the websites and marketplaces that allow these transactions to occur. Additionally, international cooperation and intelligence sharing is crucial in preventing the illicit flow of weapons across borders.",0,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has been arrested and charged with two counts of attempted murder in connection with the attack. He appeared in court on Monday and has been remanded in custody until his next court appearance. Police are still investigating the incident, and anyone with information is urged to come forward.",0,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim headteacher, but they needed time to assess the situation and ensure the school can provide a safe and effective education for its pupils. The council has advised parents to make alternative arrangements for their children's education for the time being. The decision to close the school will undoubtedly cause disruption, but the council's priority is the safety and education of the children, and they are working to resolve the situation as quickly as possible.",0,3
Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple Music's initial decision not to pay artists during its three-month free trial period was unfair. The company reversed its policy and agreed to pay artists during the trial period after Swift's public criticism.,0,4
"Latham smashed Colin Ackermann for six to reach his hundred but was caught behind off Neil Dexter for 124. Opener Steel went on to make his century off 242 balls, scoring 13 boundaries in the process. However, he was dismissed soon after for 106 by a delivery from Callum Parkinson. Despite losing two key batsmen, Leicestershire continued their strong batting display and finished their first innings with a total of 427. Callum Parkinson was the pick of the bowlers for Leicestershire, taking 5 wickets for 147 runs. In reply, Durham were off to a shaky start, losing two wickets for just 26 runs. Skipper Cameron Bancroft and all-rounder Ned Eckersley led the recovery for Durham, adding 104 runs for the third wicket. However, after the dismissal of Bancroft for 60, Durham lost wickets at regular intervals and were eventually bowled out for 329. Leicestershire's Dieter Klein was the star with the ball, taking 4 wickets for 69 runs. Leicestershire enforced the follow-on, but Durham put up a much better showing in their second innings, with opener Alex Lees scoring a well-deserved century. Despite his efforts, Durham were eventually bowled out for 332, handing Leicestershire a comprehensive victory by an innings and 66 runs.",0,5
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in I'm sorry, but it seems that the description of the suspect got cut off. Could you please provide more information?",0,6
Police have charged a 32-year-old Norwegian man over both attacks. The man dressed as a police officer was arrested on tiny Utoeya island after an hour-long shooting spree. Prime Minister What would you like me to assist you with regarding this information?,0,7
"Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke detector. The firefighters responded quickly and were able to contain the fire, preventing it from spreading to neighboring buildings. They worked for several hours to extinguish the blaze and made sure that the area was safe for people to return to. It is important to always have working smoke detectors in your home, as they can save lives by alerting you to a fire in its early stages. Additionally, it is recommended to have a fire safety plan in place for your family, so everyone knows how to evacuate and where to meet in case of a fire emergency.",0,8
"The idea will be looked at as part of a wider study of transport issues across southern Scotland. Campaign for Border Rail spokesman Simon Walton said they would have preferred more immediate action on the idea, but they understand the need for a comprehensive study to ensure the best possible outcome. Is there anything else I can help you with?",0,9
