text,label,index
This country's dramatic political changes have passed them by. Greater democracy has not brought greater respect for the stateless Rohingya's human rights. But the formation of an Advisory Commission on They have been the focus of the country's dramatic political changes.,0,0
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related In the report, researchers say that the illicit firearms and related weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found.",0,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has Two boys have been critically injured in a road traffic collision following an attack by a man wielding a baseball bat.",0,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim Trafford closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership.""",0,3
Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple Swift would not let the firm stream the album because her 1989 was available on the streaming service.,0,4
"Latham smashed Colin Ackermann for six to reach his hundred but was caught behind off Neil Dexter for 124. Opener Steel went on to make his century off 242 balls, Steele smashed the one ton mark Latham for 59 to give Latham a one-run lead before he got his second wicket only eight overs into the innings. In the end, Latham was dropped for a duck but Steele reached six fours off his first two overs to hit the first ball of the next over to join David Latham for 58, and Latham hit two sixes on the way to a maiden ten, but was unable to get to the halfway point, and Steele remade the opener to the scoreboard to make his half-century. Steele went on to form and hit a big six off the first ball to set the target, as Steele started the next to reach his second century, before turning to hit a two-ball century in 87 balls, reaching his century off 246 balls. The opening Steele was then bowled Latham for 28 to go past his hundred and Steele Steel was caught by Latham for 84. Latham then hit a boundary to add three sixes to his score and steel struck his only six to reach six off Steele to make him count. Latham hit his first sixes with his hundred and Steel was caught for 86.",0,5
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in 18-20, stocky, of a slim build, with short hair, and with a beard.",0,6
Police have charged a 32-year-old Norwegian man over both attacks. The man dressed as a police officer was arrested on tiny Utoeya island after an hour-long shooting spree. Prime Minister both attacks. He is one of three attackers.,0,7
"Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke after being alerted by a smoke.",0,8
The idea will be looked at as part of a wider study of transport issues across southern Scotland. Campaign for Border Rail spokesman Simon Walton said they would have preferred Borders rail link There are plans to look at the idea of a Borders railway line that could go from Edinburgh to Newcastle.,0,9
"Nazanin Zaghari-Ratcliffe was sentenced to five years for allegedly plotting to topple the government in Tehran. Her husband, Richard Ratcliffe, has criticised the UK government for a lack of action Iran case.",0,10
