text,label,index
"This country's dramatic political changes have passed them by. Greater democracy has not brought greater respect for the stateless Rohingya's human rights. But the formation of an Advisory Commission on Rakhine State represents a rare glimmer of hope. For the first time, the Burmese government is seeking international expertise to try and solve one of the country's most complex problems. It's a significant shift. For years, the official Burmese mantra has been that ""no foreigner can possibly understand Rakhine's problems."" Now Kofi Annan, the former UN secretary general, has been tasked with taking a fresh look at the issues as head of nine-member commission. His report could just add to the mountain of papers written about Rakhine and the Rohingya, or it just might be a game-changer. Will anyone help the Rohingya? Rohingya migrant crisis in 90 seconds The'abandoned' people in Myanmar's election Aung San Suu Kyi where are you? So what's Aung San Suu Kyi up to? Well, first a cynical take. Next week the UN Secretary General Ban Ki-moon is due in the Burmese capital Nay Pyi Taw and in September Ms Suu Kyi will head to the United States for the UN General Assembly and talks with President Obama. The Nobel laureate was no doubt bracing herself for awkward questions about why she wasn't doing more to help Myanmar's Muslim minority and in particular the 800,000 or so Rohingya. Those questions can now be easily deflected with reference to this new commission. But there's more at play than that. By setting up the commission, Ms Suu Kyi is signalling that she is open to new ideas, and doesn't have all the answers. Kofi Annan may be 78 but, as you'd expect from a former UN secretary general, he's his own man. The final report, due to be delivered by the end of August 2017, is likely to contain suggestions that many Burmese consider unpalatable. Almost certainly it will insist that the Rohingya's basic human rights are respected, perhaps recommending that Myanmar offer them a better route to citizenship. In Myanmar's current political climate it's hard for Ms Suu Kyi to bring those ideas to the table. She'd be attacked not just by hardline Buddhists but many within her own party. So Kofi Annan and his report could be the ""Trojan Horse"" that brings this sort of proposal into the national debate. There are of course plenty of caveats. Problems as deeply entrenched as those between the Buddhist and Muslim communities in Rakhine State will not be solved overnight. The animosity between them has built up over decades with many in the Buddhist majority seeing the Rohingya as illegal immigrants from across the border in Bangladesh. After the violence of 2012, more than 100,000 Rohingya were forced from their homes into camps. In the years that have followed there's been no real effort to help them return. Rakhine has become increasingly segregated, with some comparing it to South Africa's apartheid. Things have become quieter but there's been little reconciliation. Whatever the commission ends up concluding, any move to give the Rohingya greater rights will be hugely controversial not just in Rakhine State but across the country. Vocal parts of the Buddhist community are openly hostile towards international aid agencies and the UN. They're unlikely to welcome Kofi Annan's team, no doubt anticipating the sort of recommendations he might make. Implementing any ""solution"" will be even harder. But the formation of this advisory commission is something new. However small, it's the first bit of positive news that the Rohingya have had for a long time.",1,0
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related goods generated 136 sales per month and a monthly revenue of 80,000 (PS62,000). The firearms trade has gained attention following recent terrorist attacks. The dark net is a part of the internet that requires specific software to access, in order for users to remain anonymous. While the trade was unlikely to fuel large-scale terrorist operations, it had the potential to become the platform of choice for ""lone-wolf"" terrorists to obtain weapons and ammunition, the report said. Non-profit organisation Rand Corporation Europe, working with Manchester University, found 52 unique vendors selling weapons or similar items such as ammunition, explosives, or components such as silencers across 811 listings and 18 markets. Police believe the 2016 Munich shooting, which left nine people dead, used weapons purchased on the dark net. Lead author of the research, Giacomo Persi Paoli, said: ""Recent high-profile cases have shown that the threat posed by individuals or small groups obtaining weapons illegally from the dark web is real. ""The ability to not only arm criminals and terrorists, who can make virtually anonymous purchases, but also vulnerable and fixated individuals is perhaps the most dangerous aspect."" Guns account for less than 1 of items sold on the platform, with its main trade being in narcotics. Nevertheless, the volume being sold ""can be considered sufficiently high to be a cause of concern for policy makers and law enforcement agencies,"" said the report. The study involved collecting data from 12 dark net marketplaces during a week in September 2016. Most of those selling guns were based in the US, but Europe was the most popular destination for the weapons they sold. Judith Aldridge, co-investigator on the study, said: ""In very simple terms, anyone can connect to the dark web and within minutes have access to a variety of vendors offering their products, which are most often illegal. ""The dark web enables illegal trade at a global level, removing some of the geographical barriers between vendors and buyers, while increasing the personal safety of both buyers and sellers through a series of anonymising features that obscure their identities.""",1,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has been charged with two counts of attempted murder and one count of assault. He will appear before magistrates in Portsmouth on Monday, police said. The attack happened shortly before 15:00 BST at the junction of Southleigh Road and Eastleigh Road. Hampshire Constabulary said both boys were in a serious but stable condition at Southampton General Hospital.",1,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim head teacher and it would reopen for Key Stage 2 pupils on Thursday. Other classes will return in the next few days, said the council. It follows a strike by teachers on Thursday, supported by some parents who demonstrated outside school. The school has appointed Kylie Spark as interim head teacher while Michelle Brindle was ""not in school,"" the council said. There are no details about how long Mrs Spark, of Sale's Tyntesfield Primary School, will be in post. A number of staff have been neutrally suspended while investigations continue into a video purporting to show teaching staff at a party making comments about Ms Brindle. Trafford Council added it has applied to the Department for Education for approval for an interim executive board consisting of experienced governors. One parent of a pupil at the school, which was rated as ""outstanding"" in its last Ofsted inspection, said she was worried many of the teachers will not return. Julie Saunders said: ""That is massively disruptive and upsetting for the children. ""It is not just a building with a few supply teachers; a school is a community which knows and understands the kids."" Sean Anstee, leader of Trafford Council, said he understood parents' concerns and the council had been working with the governing body to resolve issues. He added: ""We are doing everything we can to reopen the school and return it to the wonderful school we know it to be."" Key Stage 1 pupils will be invited back into school on Friday and early years pupils will return on Monday. A petition of no confidence in Ms Brindle has been signed by more than 900 people. The head teacher told the BBC she did not want to comment. The school teaches more than 200 pupils from the age of three to 11.",1,3
"Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple withholding payments during a three-month trial period was not fair for artists. But photographer Jason Sheldon said the singer herself did not ""play fair"" when it came to image rights. Some of the claims he has made in an open letter to Swift have been disputed by representatives of the 25-year-old singer. In it he wrote: ""If you don't like being exploited, that's great - make a huge statement about it, and you'll have my support. But how about making sure you're not guilty of the very same tactic before you have a pop at someone else? ""With all due respect to you too Taylor, you can do the right thing and change your photo policy. Photographers don't ask for your music for free. Please don't ask us to provide you with your marketing material for free."" Mr Sheldon, who runs the Walsall-based Junction 10 agency, said he and other photographers had been called to hand over some rights to their images from Swift's live concerts. To cover a performance in March 2011 at Birmingham's LG Arena, Mr Sheldon said he had to sign a permission form that granted Swift's management company long-term rights to reuse the images and prevented him from featuring them after the initial coverage. ""I can't use it in my portfolio, feature it on my website and even the original newspaper couldn't reuse it,"" Mr Sheldon said. ""What's more, they can give my image to my clients for press purposes. It's giving my work away for free."" He said the photo authorisation form included a section that gave the management firm ""perpetual worldwide right to use (and to authorise others to use) any or all of the photographs for any non-commercial purpose."" Mr Sheldon said clauses such as this were becoming more common in photo agreement forms. He said it was Swift's stance with Apple that ""jarred"" - with her ""lambasting"" the firm over using music for free, when her management firm was ""guilty of doing the same thing with photos."" In a statement, a spokesperson for Swift said: ""The standard photography agreement has been misrepresented in that it clearly states that any photographer shooting The 1989 World Tour has the opportunity for further use of said photographs with management's approval. ""Another distinct misrepresentation is the claim that the copyright of the photographs will be with anyone other than the photographer - this agreement does not transfer copyright away from the photographer. ""Every artist has the right to, and should, protect the use of their name and likeness."" Mr Sheldon said he had seen a 2015 version of the same contract that was even more strict, although he had not applied for one. ""I fully agree with Taylor Swift's stance against Apple, but it's about her playing by the same rules she wants to live by,"" he said.",1,4
"Latham smashed Colin Ackermann for six to reach his hundred but was caught behind off Neil Dexter for 124. Opener Steel went on to make his century off 242 balls, before passing his previous first-class best of 128. Dieter Klein claimed a couple of late wickets but Steel ended unbeaten on 145 as Durham closed on 324-4.",1,5
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in his early 20s, of slim to medium build, with cropped dark hair shaved on both sides. Police have appealed for information.",1,6
"Police have charged a 32-year-old Norwegian man over both attacks. The man dressed as a police officer was arrested on tiny Utoeya island after an hour-long shooting spree. Prime Minister Jens Stoltenberg said many people were still looking for their children and had not so far been able to locate them. He was speaking after meeting victims and relatives with Norway's King Harald, Queen Sonja and Crown Prince Haakon in the town of Sundvollen near the island. Values attackedHome-grown plot?In pictures: Shock Mr Stoltenberg said he was ""deeply touched"" by the meetings. ""We will do whatever we can to give them as much support as possible,"" he said. Earlier he said that he was due to have been on Utoeya - ""a youth paradise turned into a hell"" - a few hours after the attack took place. The suspect is reported by local media to have had links with right-wing extremists. He has been named as Anders Behring Breivik. Police searched his Oslo apartment overnight and are questioning him. The BBC's Richard Galpin, near the island which is currently cordoned off by police, says that Norway has had problems with neo-Nazi groups in the past but the assumption was that such groups had been largely eliminated and did not pose a significant threat. Police say they are investigating whether the attacks were the work of one man or whether others helped. ""At Utoeya, the water is still being searched for more victims,"" deputy police chief Roger Andresen told reporters. ""We have no more information than.... what has been found on [his] own websites, which is that it goes towards the right and that it is, so to speak, Christian fundamentalist."" By Richard GalpinBBC News, near Utoeya A search is going on not just on the island itself, but also in the waters around it because a lot of people tried to escape by jumping in the water and trying to swim away. Even as they did that, eyewitnesses say, the gunman opened fire on them. The chatter now is that it took the police an hour, if not an hour and a half, to actually get to the island. Of course that gave the gunman so much time to kill so many people. Also crucially, the police were throwing all their resources at the huge bomb attack which had just taken place in the centre of Oslo. But still, the question will be asked: Were there not police nearer to this area who could have moved in much more quickly? Local media report that police are investigating claims by witnesses that a second person was involved, apparently not disguised in a police uniform. A farm supply firm has confirmed selling six tonnes of fertiliser to Mr Breivik who is reported to have run a farming company. Speculation has been rife that fertiliser could have been used in the Oslo bomb. The number killed in the island shooting spree, which is among the world's most deadly, had been put at 10 on Friday - but soared overnight. Hundreds of young people had been attending the summer camp organised by the governing Labour Party on Utoeya island. Eyewitnesses described how a tall, blond man dressed as a policeman opened fire indiscriminately, prompting camp attendees to jump into the water to try to escape the hail of bullets. Some of the teenagers were shot at as they tried to swim to safety. Armed police were deployed to the island but details of the operation to capture the suspect remain unclear. After his arrest he was charged with committing acts of terrorism. Profile: Anders Behring Breivik Police say they discovered many more victims after searching the area around the island. They have warned the death toll may rise further as rescue teams continue to scour the waters around the island. The gunman is reported to have been armed with a handgun, an automatic weapon and a shotgun. ""He travelled on the ferry boat from the mainland over to that little inland island posing as a police officer, saying he was there to do research in connection with the bomb blasts,"" NRK journalist Ole Torp told the BBC. ""He asked people to gather round and then he started shooting, so these young people fled into the bushes and woods and some even swam off the island to get to safety."" One 15-year-old eyewitness described how she saw what she thought was a police officer open fire. ""He first shot people on the island. Afterward he started shooting people in the water,"" youth camp delegate Elise told Associated Press. The attacks sparked strong international condemnation, with US President Barack Obama expressing his condolences and offering support. Britain's Queen Elizabeth II spoke of her shock and sadness in a letter to King Harald. In Oslo, government officials urged people to stay at home and avoid central areas of the city. Shards of twisted metal, rubble and glass littered the streets of central Oslo left devastated by Friday's enormous explosion. Windows in the buildings of the government quarter were shattered and witnesses described how smoke filled the atmosphere around the blast site. The BBC's John Sopel in Oslo says there is a heavy military presence, with checkpoints around the quarter. Mr Stoltenberg said civil servants were among the dead in Oslo and he knew some of those killed. There are also concerns that more victims may still be inside buildings hit by the initial massive explosion.",1,7
"Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke alarm. Scottish Fire and Rescue Service has launched an investigation into the cause of the blaze, although it is not believed to be suspicious. Station manager Dave Wishart said: ""Firefighters were deployed in strategic positions surrounding the building with high-pressure jets and worked through the night to bring the incident to a safe conclusion. ""Unfortunately the intensity of the fire meant the house was completely destroyed."" ""The home owners became aware of the fire quickly and had a working smoke alarm. ""This helped them to get themselves and their dog out safely.""",1,8
"The idea will be looked at as part of a wider study of transport issues across southern Scotland. Campaign for Border Rail spokesman Simon Walton said they would have preferred a report looking solely at rail services in the area. However, he said it was welcome progress nonetheless. Transport Scotland announced earlier this week that it intended to award the contract to look at wider transport issues across the south of the country to Jacobs UK Ltd. It is hoped the study can get under way later this month and will take about seven months to complete. Mr Walton said it was good to see the CBR's case for extending the railway was being recognised. ""It is a first step if not exactly a giant leap - it is certainly a move in the right direction,"" he said. ""We at the CBR would have been happier with a feasibility study looking solely at railway extension but this is a positive move. ""It does back our findings that it makes sense locally, socially and strategically to take the railway through Hawick and on to Carlisle.""",1,9
