text,label,index
"This country's dramatic political changes have passed them by. Greater democracy has not brought greater respect for the stateless Rohingya's human rights. But the formation of an Advisory Commission on Rakhine State, led by former UN Secretary General Kofi Annan, has given the Rohingya hope that their plight will be addressed. The Commission is tasked with finding practical solutions to complex issues, such as protecting the human rights of all people in the state, and providing access to health care and education for the Rohingya. The Commission has also called for an end to restrictions on movement and freedom of religion. While these efforts have yet to bear fruit, the Rohingya have welcomed the Commission's work as a step in the right direction.",0,0
"Those selling the illicit weapons often disassembled and sent them in different packages or embedded them in old stereos or printers, the report found. Researchers found that firearms and related components were almost always sent by mail, while ammunition and other related accessories were usually posted. The report found that most of the illegal arms were sold through underground networks of gun dealers and smugglers who used chat rooms and websites to advertise and sell their wares. These networks often operated in secret, making them difficult to track down and apprehend. In addition, the report found that many of the weapons were sold for profit, with sellers often using inflated prices to increase their profits. The researchers also noted that some sellers may have engaged in money laundering activities, as well as selling counterfeit goods. Finally, the report concluded that the illegal arms trade was a significant source of income for organized crime groups.",0,1
"The boys, aged 12 and 13, were seriously injured in the attack in Havant, Hampshire, on Friday and remain in hospital. Richard Michael Walsh, 43, of no fixed address, has been charged with two counts of attempted murder. The police have not released any further details about the incident and it is unclear what exactly happened. It is reported that both boys were taken to hospital after being attacked, and one required emergency surgery. The other boy is thought to be in a stable condition. The motive for the attack is unknown at this time, but police are investigating the incident and are appealing for witnesses or anyone with information to come forward. This is a very serious incident and our thoughts are with the families of the two boys involved. We hope that the authorities can quickly get to the bottom of what happened and ensure justice is served.",0,2
"Trafford Council closed Bollin Primary School in Bowdon, Greater Manchester on Monday after concerns about a ""reduced capacity of senior leadership."" The council said the school had appointed an interim headteacher but this had not been successful in turning the school around. The council has said that it is working closely with Trafford's education commissioner and the Department for Education to ensure that pupils have access to a good quality education. It added that affected pupils will be provided with alternative school places as soon as possible. The council has also set up a helpline to provide further advice and support to parents.",0,3
"Apple Music performed a U-turn over payment policy a day after the pop star threatened to prevent the US firm from streaming her album 1989. Swift had argued that Apple Music should pay artists for streaming their music during its three-month free trial period, which it had previously declined to do. Apple then announced that it would pay artists for music streamed during the trial. Swift welcomed the news, saying: ""I am elated and relieved. Thank you, Apple, for your change of heart.""",0,4
"Latham smashed Colin Ackermann for six to reach his hundred but was caught behind off Neil Dexter for 124. Opener Steel went on to make his century off 242 balls, hitting 15 boundaries in the process. Latham and Steel put on a brilliant 189-run opening stand, the second highest partnership of the match. Latham's 124 was the highest individual score of the match and Steel's 101 not out was crucial in setting up a challenging total for Glamorgan.",0,5
"An altercation broke out between two men inside a fast food outlet about 00:35 BST on Sunday which then continued outside. Police said the suspect is described being aged in his 20s and wearing a green check shirt. Eyewitnesses said the altercation started when one of the men threw a milkshake at the other, causing him to become enraged. Witnesses also said that the suspect was seen in possession of a knife, although police have not confirmed this. The men were separated by members of the public before Police Officers arrived on the scene. Both men were taken away for questioning and medical attention. Enquiries into the incident are ongoing and anyone with information is asked to contact their local police station.",0,6
"Police have charged a 32-year-old Norwegian man over both attacks. The man dressed as a police officer was arrested on tiny Utoeya island after an hour-long shooting spree. Prime Minister Jens Stoltenberg said the attacks were ""like a nightmare."" The man, who has not been named, is facing charges of terrorism and voluntary homicide. Police said he had used ""a variety of weapons"" in his attack on the Oslo government district, which left seven dead, and on Utoeya island, where he killed at least 84 people. He was arrested after police arrived on the island. Police have not commented on the suspect's motives but media reports suggest he may have links to right-wing groups. The Norwegian Prime Minister said it was ""a very difficult day."" He added: ""It's a nightmare. It's a nightmare for those who have been killed, injured and affected, and for their families and friends.""",0,7
"Firefighters tackled the blaze, which started just before 21:00 on Monday in Carron Valley. The home owners and their dog escaped from the building after being alerted by a smoke alarm. The fire was brought under control by around 23:00. A Scottish Fire and Rescue Service spokesperson said: ""Operations Control mobilised a number of resources to the scene at Carron Valley, Falkirk, following reports of a dwelling fire. ""Firefighters extinguished the flames and left the scene after ensuring the area had been made safe. ""Crews have been praised for their swift response which resulted in the fire being quickly brought under control. ""Thankfully, the occupants and their dog were alerted to the fire by a working smoke alarm and managed to escape before crews arrived on the scene. ""This highlights the importance of having a working smoke alarm fitted in your home as it gives you vital minutes to get out, stay out and call 999.""",0,8
"The idea will be looked at as part of a wider study of transport issues across southern Scotland. Campaign for Border Rail spokesman Simon Walton said they would have preferred a direct rail line from Edinburgh to Carlisle rather than an upgrade of the existing route, but acknowledged that ""in the current financial climate it is unlikely to happen."" He said: ""The new scheme is a good start and we are hopeful that it could be used to create a direct link between the two cities in future. We will continue to lobby for that as part of our campaign.""",0,9
"Nazanin Zaghari-Ratcliffe was sentenced to five years for allegedly plotting to topple the government in Tehran. Her husband, Richard Ratcliffe, has criticised the UK government for a lack of action , saying that it has failed to do enough to secure her release. He has also accused Iran of using her as a ""bargaining chip"" in negotiations with the West. The UK government has repeatedly called for Zaghari-Ratcliffe's immediate and unconditional release, both publicly and through diplomatic channels. It has raised her case with the Iranian authorities on numerous occasions and lobbied other world leaders to do the same. The UK has offered consular assistance and provided her with financial support while she is in prison, and has made clear its commitment to securing her release. However, it is difficult to predict when or if Zaghari-Ratcliffe will be released. The Iranian judicial system operates independently from the government, and decisions about her case are ultimately out of the UK government's hands. Ratcliffe has expressed frustration at the lack of progress and has urged the government to do more to bring his wife home.",0,10
"Each evening Cardiff Bay will become the venue for a world music Showcase Festival featuring a tapas of world music from around the world. Folk music played a large part in the festival, with traditional artists from across Europe and beyond providing a unique atmosphere to the waterfront. Other acts included Latin American, African, Asian and jazz music. The showcase took place over several days, drawing in a large variety of music lovers from all walks of life. Each day had a different theme, with some nights focusing on acoustic and folk music, while others featured more energetic and upbeat sounds. The event was held in an outdoor area, with plenty of seating and standing areas for the audience. Spectators could enjoy the views of the bay while they enjoyed the music and soaked up the atmosphere created by the performers. Food stalls were also available, offering a range of international cuisine. The festival was a huge success, with people of all ages coming out to experience something new. This was an incredible opportunity to discover new music, meet new people and explore different cultures.",0,11
"Akinfenwa chested down in the box and saw his deflected shot fly past Bobby Olejnik to continue Wycombe's impressive home form - they have lost just one of six league games at Adams Park this season. The goal was scored by Akinfenwa in the 39th minute of Wycombe's League One game against Rochdale on November 28 2020. The match ended 1-1, with Akinfenwa's goal being the only one scored by either team in the first half.",0,12
"He was held on suspicion of Computer Misuse Act offences after officers searched a property in the city. Police have also arrested and bailed a 16-year-old from London, a 15-year-old from London and a 17-year-old from Manchester in connection with the investigation. The man was arrested under the Computer Misuse Act 1990, which makes it illegal to access or modify computer material without authorization. It also covers malicious software (malware) attacks, denial of service attacks, and other attempts to disrupt or damage computer systems. It is punishable by up to two years in prison.",0,13
"The state newspaper says the ""suave"" liquor will spare you wincing when you wake, despite boasting 30-40 alcohol. The brew is reportedly made from a type of indigenous ginseng called ""Ginseng Sap"" and is said to be a mix of sweet, sour, and bitter flavors. The newspaper claims that the drink has been around for centuries in China, but has recently gained popularity as a health-promoting beverage. It is believed that the Ginseng Sap helps to reduce inflammation, improve circulation, and promote relaxation. The taste of the liquor has been described as a unique combination of the sweet, sour, and bitter. The newspaper recommends consuming the drink responsibly and advises that it should not be taken in excessive quantities. They also suggest that it should be paired with food such as dried fruit or nuts. This drink may sound too good to be true, but if consumed in moderation, it could be a great alternative to more traditional alcoholic beverages.",0,14
"Transactions carried out in European markets were previously recorded in Luxembourg, with which Amazon had a low-tax agreement. Now sales made through subsidiaries in the UK, Germany, Spain and Italy are all booked in their respective countries. This shift will help Amazon better reflect the economic activity occurring in each of those markets and pay corporation tax accordingly. The change could have a significant impact on the amount of taxes Amazon pays across Europe, as the company has been accused of exploiting loopholes to avoid taxes. It is estimated that Amazon paid just 200m in corporate taxes in 2018, despite recording net sales of 21.6bn in the same year. The move has been welcomed by European governments, who have long criticised Amazon for its aggressive tax avoidance practices. It will likely lead to an increase in the amount of taxes collected from the company, providing a much-needed boost to public finances. Additionally, the shift may encourage other large companies to follow suit and ensure they are paying their fair share of taxes.",0,15
"The council has launched an appeal to raise PS150,000 for a bronze sculpture in the Barkers Pool area. Former steelworker Kathleen Roberts said: ""It breaks my heart that we haven't been able to come up with this money ourselves but I hope that the people of Sheffield will rally round and donate to the appeal."" The council have set up a dedicated webpage for donations with any amount welcome, and have launched a social media campaign to spread awareness. Cllr. Mary Lea said: ""This sculpture is a tribute to the hard work and dedication of those who worked in Sheffield's steel industry, and it is important that we recognise their contribution to the city.""",0,16
"Bielsa, 60, a former Argentina and Chile boss, resigned from French club Marseille in August and is unattached. He led Spanish club Athletic Bilbao to the 2012 Europa League and Copa del Rey finals. He said in a statement: ""I am delighted to have been given the opportunity to join Leeds United and I can't wait to get started."" Leeds owner Andrea Radrizzani added: ""We are very pleased to have Marcelo join us. He is one of the most respected managers in world football and his track record of success is second to none. ""His style of play fits perfectly with Leeds United's vision and values and the club will be delighted to benefit from his knowledge, experience and enthusiasm for the game.""",0,17
"The test investigates whether people can detect if they are talking to machines or humans. The experiment is based on Alan Turing's question-and-answer game Can Machines Think? No computer has yet passed the Turing Test, which means that no machine has been able to fool people into believing that it is human. The test requires a human judge to interact with two entities: one of them is a human and the other is a machine. The judge must determine which is which without being able to see or hear either entity. The test involves asking questions and determining who is giving the best answers. The machine needs to give answers that are indistinguishable from those given by a human in order for it to pass the test.",0,18
"Leinster fly-half Sexton was injured in Saturday's Pro12 final defeat by Connacht and requires surgery. Full-back Rob Kearney has a hamstring injury with his brother Dave, a winger, ruled out for the tour with a shoulder problem. Sexton is expected to be sidelined for around four weeks, which would make him available for the third and final Test against Australia in Sydney on June 18. The Ireland party includes five uncapped players - Rory Scannell, Kieran Marmion, Ultan Dillane, Josh van der Flier and Stuart Olding - and head coach Joe Schmidt will be without nine frontline players. Ireland have the first of three Tests against New Zealand in Auckland on June 11. Ireland squad to tour New Zealand: Backs: Simon Zebo, Andrew Trimble, Keith Earls, Tommy Bowe, Jared Payne, Robbie Henshaw, Stuart Olding, Luke Fitzgerald, Ian Madigan, Kieran Marmion, Conor Murray, Eoin Reddan, Paddy Jackson. Forwards: Jack McGrath, Cian Healy, Nathan White, Mike Ross, Tadhg Furlong, Rory Best (captain), Sean Cronin, Richardt Strauss, Donnacha Ryan, Iain Henderson, Devin Toner, Quinn Roux, Ultan Dillane, CJ Stander, Jamie Heaslip, Jordi Murphy, Rhys Ruddock, Josh van der Flier, Rory Scannell.",0,19
"Shocked onlookers swam across the boating lake at Stanborough Park, Welwyn Garden City, on Sunday after the car became submerged in the water. The pair were put in a boat and taken to safety. Witnesses said the driver of the car, a woman believed to be in her 20s, had been driving at speed when she lost control. It is believed the woman was visiting the park for the day when the incident happened. The car was completely submerged in the lake and could not be seen from the bank. Emergency services were called to the scene and a fire crew managed to retrieve the vehicle. The woman and the man who was with her were taken to hospital as a precaution but it is understood they were not seriously injured.",0,20
"The birds caused ""extensive damage"" by making holes in parts of the spire made of cedar at St Mary's Church in Headley near Epsom. A grant of PS78,000 was awarded to fund the repairs. The birds had made their way into the spire through a broken louver, which is an opening that allows air to circulate. The church's vicar, Revd Canon Sam Corley, said: ""We were shocked and dismayed by the damage caused by the birds. We were very relieved when we found out that a grant was available to help cover the cost of the repairs.""",0,21
"Transport Minister Humza Yousaf said a new charter arrangement would end the long-running row over seafarers' pay. The RMT union had claimed some workers on board two freight boats were not being paid the Scottish Living Wage. Mr Yousaf said: ""This new charter arrangement will ensure that seafarers working on these vessels will be paid the Scottish Living Wage, providing a minimum pay rate of 9 per hour and benefit from better terms and conditions. ""We have worked closely with the RMT union to ensure that all seafarers employed on the Caledonian MacBrayne freight routes receive fair pay, and I am pleased that we have been able to reach an agreement which will benefit all those involved."" The charter arrangement will come into effect on April 1, 2017. It will mean that seafarers employed on the two ferry boats will receive the Scottish Living Wage, as well as better terms and conditions. The agreement also includes measures to support the training and development of seafarers, improve safety onboard and strengthen the bond between employers and employees. The RMT Union said the agreement was a ""positive step"" in ensuring the rights of seafarers are protected. General Secretary Mick Cash said: ""This is a positive step forward for our members who had been at risk of being denied the rights and protection that other workers enjoy. ""We will continue to work closely with the Scottish Government to ensure that this agreement is properly enforced and that any future disputes are resolved in a timely and satisfactory manner.""",0,22
"Foster's time of 11.62 seconds earned automatic qualification as she finished second in her first-round heat. However, Smyth exited from the men's 100m as he finished fifth in his heat and missed out on a place in the semi-finals. Foster went on to reach the final of the women's 100m, finishing in eighth place with a time of 11.56 seconds. Smyth was unable to qualify for the final of the men's 100m.",0,23
"The lifesaving equipment is believed to have been taken from outside of Frenchay Village Hall, near Bristol, in the early hours of Friday. Last December it was one of eight defibrillators stolen from locations around the city in a spate of thefts. The defibrillator is a device used to restart a person's heart if they suffer from cardiac arrest. It works by delivering an electric shock to the heart, which can help to restore a normal rhythm. The devices are usually found in public places, such as schools, community centres and sports clubs, where they can be easily accessed in an emergency.",0,24
"Hull City's Chester, Dummett of Newcastle United and Celtic's Matthews missed March's 3-0 win in Israel because of injuries. Andy King returns after serving a two-match ban but injuries rule out fellow midfielders Joe Allen, Aaron Ramsey, and Jonny Williams. Defenders Ben Davies, Ashley Williams, Chris Gunter and James Chester have all been called up but Ben Davies is a doubt with a calf problem. Midfielder Joe Ledley has also been recalled for the game after missing the last two qualifiers. Up front, Gareth Bale and Sam Vokes are available but Hal Robson-Kanu misses out with an ankle injury.",0,25
"The Euro 2012 co-hosts took the lead when Yarmolenko seized on goalkeeper Samir Handanovic's unconvincing punch. Seleznyov slid in to convert the overlapping Artem Fedetskiy's cross after the break. Josip Ilicic scored a consolation goal for Slovenia in the 79th minute. The victory secured Ukraine's place at the top of Group H with 13 points from five games, two points clear of England, who were held to a 1-1 draw by Montenegro earlier on Friday.",0,26
"Pae Jun-ho, known in the US as Kenneth Bae, smuggled anti-government materials and plotted the state's downfall, a Supreme Court spokesman told state news agency KCNA. He denied Mr Bae had entered North Korea as a missionary. The spokesman said Mr Bae had used his tourism business to form groups to overthrow the government and had smuggled forbidden items into the country, including DVDs and photos. He had also used religious activities to try to overthrow the government, the spokesman added. Mr Bae was arrested in November 2012 and sentenced to 15 years' hard labour in May 2013. He is believed to be held at a prison camp in the north-eastern city of Rajin.",0,27
"Media playback is not supported on this device The wing, 34, scored in the last move of Wales' 24-18 defeat by Australia in Cardiff and was later in tears during the post-match interviews Wales' wing George North has been told he must improve his tackling technique if he is to play in the upcoming Six Nations. North, 34, scored in the last move of Wales' 24-18 defeat by Australia in Cardiff on Saturday and was later in tears during the post-match interviews. Head coach Warren Gatland said: ""We want to make sure that when he's defending, it's not a high tackle. ""We'll work with him and help him and make sure he gets his technique right."" North, who has won 95 caps for Wales, was replaced in the second half after being penalised for a dangerous tackle on Wallaby centre Samu Kerevi. Gatland added: ""He's obviously very emotional about that. He's a big guy and he needs to make sure his technique is spot on. ""He knows we want him out there as much as possible, but he also knows he has to get his technique right."" North is expected to be named in Wales' squad for the Six Nations next week.",0,28
"But the BBC drama - which celebrated its 30th anniversary last month - was beaten to the TV soap of the year award by its ITV rival Coronation Street. Ant ony Cotton, who plays Sean Tully in Corrie, collected the prize at a glittering ceremony in London. EastEnders, which won five awards including best soap actor (John Partridge) and best actress (Kellie Bright), was also named serial drama of the year. But it was Coronation Street that had the last laugh when it scooped the top honour. The show's executive producer Kieran Roberts said: ""We are absolutely thrilled to be named TV soap of the year. The award is especially significant as it reflects the response from viewers, who are the lifeblood of our show. ""We thank them for their ongoing support and loyalty, and we will continue to strive to make Coronation Street the very best that it can be."" The awards, now in their 28th year, recognise excellence in both soaps and serials. Other winners included Casualty, which won the best soap story line gong, and Emmerdale, which took home the best soap newcomer trophy.",0,29
"Welsh Secretary Stephen Crabb was speaking after Friday's final televised debate before the election. ""There's only one party that's in a position to secure an overall majority and that's the ... Conservative Party.",0,30
"John Morley, 29, of Deanstown, Finglas West, is alleged to have carried out a sustained weekend attack at the Chimney Corner Hotel in Mallusk. The victim, Derek White, was said to have been subjected to a violent assault on 8th October 2017. Mr. Morley is accused of punching Mr. White several times in the face and body, and kicking him while he was on the ground. The attack was reported to police by eyewitnesses who were present at the time. Mr. Morley has been charged with grievous bodily harm with intent and is due to appear before Antrim Magistrates' Court on 6th November 2017.",0,31
"An ISI official told the BBC the compound in Abbottabad where Bin Laden was killed by US forces on Sunday had been raided several years ago. But the compound ""was not found to be linked to any militant activities."" The official said the compound had been under surveillance for about a year before the raid. He said the ISI had provided intelligence to the US on the compound, including its location and layout, but had no knowledge that Bin Laden was living there. He also said that ISI had had no contact with Bin Laden since 2001.",0,32
"Ethan McKen, 24, was at the Black Sea resort of Sunny Beach, near Burgas, when he and a friend were hit by a wave, earlier on Saturday. Mr McKen was knocked unconscious and rushed to hospital, but died from his injuries later that night. Mr McKen was a popular student at the University of Glasgow, where he was studying for an MSc in Global Health and Infectious Diseases. He had travelled to Bulgaria with a group of friends for a summer holiday. Friends have paid tribute to him on social media, describing him as generous, kind and always willing to help others. His family said: ""Ethan was an inspiring young man who was passionate about making a difference to the lives of others. He will be greatly missed by all those who knew him."" Mr McKen's death is being investigated by the Bulgarian authorities.",0,33
"Actresses including Meryl Streep, Sally Field, Sandra Bullock and Cameron Diaz saluted the 76-year-old Oscar-winner at Thursday's event in Hollywood. ""I'm so happy to add another woman's name to the list of brilliant filmmakers,"" Streep said. ""Sally Field said, ""You are an example of what can be accomplished with hard work, dedication and a lot of chutzpah."" Bullock noted that Mirren has inspired generations of actresses, while Diaz pointed out that she has been a role model for women in the film industry. ""You have shown us all the power of believing in yourself,"" she said.",0,34
